profile,portfolio,cagr,annualized_volatility,bil_relative_sharpe,bil_relative_sortino,max_drawdown,calmar,average_monthly_turnover,annualized_turnover,months
balanced,strategy,0.07414954042255162,0.09334801876988479,0.48620941838453524,0.7059963960824717,-0.18642389047664487,0.39774698528695845,0.0331811587851271,0.3981739054215252,67.0
balanced,static_profile,0.07061952938110094,0.0928635361599136,0.4521269424879121,0.6564410104900215,-0.18687772558315552,0.3778916356175213,0.018559302554497694,0.22271163065397231,67.0
balanced,60_40,0.08586452504967301,0.10821600189518828,0.5336375894437738,0.7978414899483833,-0.2006043018560959,0.42802933065347815,0.014421131959296415,0.17305358351155697,67.0
balanced,SPY,0.14711443669553592,0.1524253164310286,0.7794988231218128,1.2566008244127231,-0.2392718921796222,0.614842116871365,0.0,0.0,67.0
balanced,equal_risky,0.07766582511105069,0.10797330728405483,0.46420491563407346,0.6856259857829557,-0.20943388132644436,0.3708369659157157,0.021230512095382143,0.25476614514458573,67.0
balanced,BIL,0.031492508324831636,0.006029108278502442,,,-0.001201822522670093,26.203959179317618,0.0,0.0,67.0
conservative,strategy,0.055406497729056925,0.07296313071969031,0.35571933647959225,0.5036862199423323,-0.150956917913044,0.36703516801378283,0.03027090292510268,0.3632508351012322,67.0
conservative,static_profile,0.050929494532542696,0.07207740313255045,0.2989507198859061,0.42192378557869553,-0.15181537642838583,0.33546993546182124,0.015937461388389203,0.19124953666067043,67.0
conservative,60_40,0.08586452504967301,0.10821600189518828,0.5336375894437738,0.7978414899483833,-0.2006043018560959,0.42802933065347815,0.014421131959296415,0.17305358351155697,67.0
conservative,SPY,0.14711443669553592,0.1524253164310286,0.7794988231218128,1.2566008244127231,-0.2392718921796222,0.614842116871365,0.0,0.0,67.0
conservative,equal_risky,0.07766582511105069,0.10797330728405483,0.46420491563407346,0.6856259857829557,-0.20943388132644436,0.3708369659157157,0.021230512095382143,0.25476614514458573,67.0
conservative,BIL,0.031492508324831636,0.006029108278502442,,,-0.001201822522670093,26.203959179317618,0.0,0.0,67.0
growth,strategy,0.10087608625002287,0.11395243061035606,0.6336368725647424,0.9726745830907578,-0.2046125297705984,0.4930103076440148,0.024420244311612674,0.2930429317393521,67.0
growth,static_profile,0.10066879814531382,0.11355086842810014,0.6338771862198709,0.9751524101328108,-0.20434229977227492,0.4926478671205232,0.018259582647470667,0.219114991769648,67.0
growth,60_40,0.08586452504967301,0.10821600189518828,0.5336375894437738,0.7978414899483833,-0.2006043018560959,0.42802933065347815,0.014421131959296415,0.17305358351155697,67.0
growth,SPY,0.14711443669553592,0.1524253164310286,0.7794988231218128,1.2566008244127231,-0.2392718921796222,0.614842116871365,0.0,0.0,67.0
growth,equal_risky,0.07766582511105069,0.10797330728405483,0.46420491563407346,0.6856259857829557,-0.20943388132644436,0.3708369659157157,0.021230512095382143,0.25476614514458573,67.0
growth,BIL,0.031492508324831636,0.006029108278502442,,,-0.001201822522670093,26.203959179317618,0.0,0.0,67.0
