portfolio,cagr,annualized_volatility,bil_relative_sharpe,bil_relative_sortino,max_drawdown,calmar,average_monthly_turnover,annualized_turnover,months
strategy,0.07414954042255162,0.09334801876988479,0.48620941838453524,0.7059963960824717,-0.18642389047664487,0.39774698528695845,0.0331811587851271,0.3981739054215252,67.0
static_profile,0.07061952938110094,0.0928635361599136,0.4521269424879121,0.6564410104900215,-0.18687772558315552,0.3778916356175213,0.018559302554497694,0.22271163065397231,67.0
60_40,0.08586452504967301,0.10821600189518828,0.5336375894437738,0.7978414899483833,-0.2006043018560959,0.42802933065347815,0.014421131959296415,0.17305358351155697,67.0
SPY,0.14711443669553592,0.1524253164310286,0.7794988231218128,1.2566008244127231,-0.2392718921796222,0.614842116871365,0.0,0.0,67.0
equal_risky,0.07766582511105069,0.10797330728405483,0.46420491563407346,0.6856259857829557,-0.20943388132644436,0.3708369659157157,0.021230512095382143,0.25476614514458573,67.0
BIL,0.031492508324831636,0.006029108278502442,,,-0.001201822522670093,26.203959179317618,0.0,0.0,67.0
