date,strategy,static_profile,60_40,SPY,equal_risky,BIL
2021-01-31,-0.006186827545360185,-0.005560361304171162,-0.009109532864599859,-0.010190451786218913,-0.0032968967781149775,0.0
2021-02-28,0.0011886922699412832,0.0024144087004579194,0.010609326471729264,0.027805348528231022,-0.00034319741677197647,-0.00010926561498425524
2021-03-31,0.013804077635452562,0.014143970827152819,0.02263383392501055,0.04539935432505615,0.012726654283368168,-0.00010937680826561547
2021-04-30,0.02904437128531186,0.029511481285636448,0.034647639517258785,0.052910493301890016,0.03287387826679567,0.0
2021-05-31,0.012798407738107013,0.013523773335876146,0.004733816413895021,0.006565898494223843,0.02212564569351387,-0.00010899171742362324
2021-06-30,0.005812344555530577,0.005572915515462622,0.01676602760691928,0.022427611017341365,-0.0012222487429978037,-0.00021870211858121547
2021-07-31,0.01614990741850103,0.015377517409687805,0.01910709478723923,0.024412428086958426,0.010720788519755959,-0.00010962322081964349
2021-08-31,0.0111225057740488,0.010983917913918896,0.01704819071028353,0.029759941288767022,0.010986420742695064,-0.00010943662482354455
2021-09-30,-0.02760590460986671,-0.0272173558815776,-0.03164724357301006,-0.046605625031996945,-0.032007240459197034,0.00010944860250927668
2021-10-31,0.03157459928507684,0.03014875490703635,0.04204474789061419,0.07016355102796479,0.029958866001163684,-0.00010943662482354455
2021-11-30,-0.007784362205189382,-0.00882456844953671,-0.003770009341117173,-0.008034775807494232,-0.01586108328833215,-0.00021849993241396248
2021-12-31,0.027878644197294175,0.026430821322834194,0.026308807041174286,0.046247935580096655,0.033656589193909126,0.0
2022-01-31,-0.03452160816621247,-0.03269599860967005,-0.0396623920315063,-0.052741313242262944,-0.03300585548851632,0.0
2022-02-28,-0.011602084518203042,-0.013568696671270362,-0.022309347307524645,-0.02951712565823139,-0.011953574939679123,-0.00021854768506845978
2022-03-31,0.007602533560771163,0.005040815100890278,0.011296688907258115,0.037590537825529236,0.005323783690228262,0.00045924918620388056
2022-04-30,-0.04961312696422463,-0.04981495323294496,-0.06791613992824456,-0.0877689547474908,-0.04831070888968503,-0.00010904892552543455
2022-05-31,-0.00449568641974449,-0.002220112015728735,0.004371033777387663,0.002257134211000489,-0.00765501401923414,0.0003279770698139117
2022-06-30,-0.0478966676378576,-0.04768367907609405,-0.05569078420350632,-0.08246033501617922,-0.05123876809538035,0.0007771759113397447
2022-07-31,0.046630939461767607,0.046179786050202926,0.06537070919664746,0.09208731718815,0.03840706133042505,0.00036015813621048665
2022-08-31,-0.03516566011316161,-0.03491528778859847,-0.03668034331168241,-0.04080192582726849,-0.0374981535631376,0.0019376077605872677
2022-09-30,-0.06983375424472299,-0.06986410635832267,-0.07205282885127742,-0.09244600260760782,-0.08093326201603201,0.0020673976586189635
2022-10-31,0.027288709901408196,0.02687121113253684,0.0436250778735942,0.08127572746039502,0.019829767913355553,0.0015859002463409766
2022-11-30,0.055805383126022796,0.05754094676404965,0.04854542038889238,0.055591502559874995,0.07796171189916483,0.003151096295289646
2022-12-31,-0.023944965579393736,-0.023965051090434203,-0.03806684111690301,-0.05762831673553204,-0.02075778472178257,0.0036263046949354116
2023-01-31,0.05265885423447856,0.05272010498928513,0.05102876828152152,0.06288730808705378,0.06567886096796816,0.002842422243367171
2023-02-28,-0.029746523626614955,-0.029458649195514237,-0.02576176778120724,-0.025142734026563862,-0.04060545681102867,0.003457506199656235
2023-03-31,0.030707968247825415,0.02882792378542057,0.03281094665074749,0.03707794399192643,0.03043809343898292,0.003990945704992477
2023-04-30,0.010197298335239366,0.009268417317309534,0.011882036682523573,0.015974763706814388,0.007841351457058235,0.0036307669514008545
2023-05-31,-0.011661229224994145,-0.011800235883259689,-0.0018121978163065692,0.004616354492605668,-0.01942516134226296,0.0037513430260176506
2023-06-30,0.025099431959691536,0.025535181480477002,0.0373992043355712,0.0647997917538703,0.025770862521632437,0.0046064679395259045
2023-07-31,0.018179630050923736,0.017660525017059572,0.019547002469185025,0.03273325825695461,0.02335183986713763,0.0038598763425421456
2023-08-31,-0.017166765083271588,-0.017096898060337977,-0.01229207824845121,-0.016251943528180934,-0.02613789552861647,0.00496704037577822
2023-09-30,-0.034546422481020925,-0.0349772502484408,-0.03882393811080655,-0.04743453935938391,-0.04007179762179999,0.0039907078171470545
2023-10-31,-0.01027311325470972,-0.012556867881027204,-0.0193184350016105,-0.021708441369235332,-0.00988492307280503,0.00430979521614816
2023-11-30,0.06028602234392485,0.06218116133760138,0.07317501077087478,0.09134361438638927,0.06730209619168982,0.004681889754583501
2023-12-31,0.03784077054747599,0.03957614301620384,0.042163416396470324,0.04565532665995842,0.04331926582549735,0.004275333943376536
2024-01-31,-0.0011811706484204153,-0.0026818346932758774,0.008947391199913945,0.015926520963537527,-0.01384988907496595,0.004267401551517613
2024-02-29,0.017197590133955384,0.016026878890147825,0.025405498178679126,0.05218682886295478,0.017530905923627046,0.004443443462331498
2024-03-31,0.025914888335391795,0.02395572150589589,0.023199758233449132,0.03270196030216255,0.030754999231060304,0.004101562011995519
2024-04-30,-0.024487099139501468,-0.02599147527274464,-0.03411583088359939,-0.04031962876347306,-0.023756601572795032,0.004321940962995985
2024-05-31,0.031032335685099728,0.0306634972070621,0.03701844224889093,0.050579787626914285,0.03096902905516222,0.0045731326826059515
2024-06-30,0.014516209981193927,0.013695539938638906,0.024694174908531766,0.035280092518306994,0.010995308359792223,0.003992992167205722
2024-07-31,0.02329529839311887,0.024107557422383095,0.01692983026121288,0.012109114980911162,0.0315594535741035,0.004508005765865519
2024-08-31,0.01997432093962337,0.02010546736996365,0.019859451659238657,0.023365508999098505,0.023049391308552287,0.004617298697750849
2024-09-30,0.02107507085143858,0.020538504739848782,0.01792996003500371,0.02100466682931046,0.028294903891939935,0.004222094295452727
2024-10-31,-0.013787064392786675,-0.017019660052973697,-0.015432775691109242,-0.008923647328876738,-0.018105651845524116,0.003947659972254103
2024-11-30,0.021014552576401044,0.019069615413841678,0.04021609169854765,0.05963342548595918,0.008143404701940271,0.0037076736324308524
2024-12-31,-0.023450915689473772,-0.02344374624294099,-0.021231995511202105,-0.02406006954082074,-0.02894190970106107,0.004031211170246074
2025-01-31,0.023012293009072298,0.022012695914664135,0.01817429793113608,0.026856345883270905,0.02849907581785255,0.0034998920482078866
2025-02-28,0.010704733525401515,0.012509886074165128,0.0013223504035129916,-0.012694839644185052,0.01819273561628981,0.0032376934619779973
2025-03-31,-0.008154618597258351,-0.008802718931359015,-0.03355347590176951,-0.0557192122565362,0.004644007369440372,0.0032701711383686938
2025-04-30,0.005079451282000389,0.0045955227534569725,-0.0035053553408612567,-0.008670056544183735,0.009266069194007886,0.0034024560730243625
2025-05-31,0.021860367963023195,0.022236499223376262,0.035273174242545814,0.06284493303163585,0.0212980631587164,0.0036317073787919263
2025-06-30,0.025254947965690024,0.025362243721145362,0.03662120705727156,0.051386230006752465,0.025724577991432233,0.0033473282269593785
2025-07-31,0.0038049068735575946,0.0037153968397807768,0.012746023082433219,0.023031446515753284,0.00011776966307809673,0.0035656264118775205
2025-08-31,0.023152202677231476,0.022421769590515152,0.017060908098876417,0.02051948404438786,0.029307913397169795,0.003707788426456471
2025-09-30,0.030858998901933974,0.026476913158597605,0.02587531770232968,0.03562043418529992,0.03726327115495171,0.003302359327529203
2025-10-31,0.014044037550707784,0.01204510637869959,0.016752746946085195,0.02383730119762495,0.013093808739848336,0.003510715796612107
2025-11-30,0.008337972064232334,0.007687240817734379,0.003584597861173716,0.0019500953167395085,0.01109340376538549,0.0028755507028119798
2025-12-31,0.003973485343053538,0.002436924155648098,-0.0006393858095937446,0.0007975029584423865,0.005682239314517898,0.0033519579818628298
2026-01-31,0.026971299374800885,0.02426888586928993,0.009842119125815178,0.014737728839574471,0.04292087161059518,0.0029548615690937474
2026-02-28,0.02156208371339292,0.020572264962261656,0.001201483133903133,-0.008641958340223965,0.03796754358037084,0.0026701371369859395
2026-03-31,-0.04689243066147434,-0.04348169955808962,-0.03681777106245551,-0.04937956664344334,-0.06079328097751922,0.0028782376678699872
2026-04-30,0.04614371654858215,0.046978564454091445,0.06369117361943356,0.10505268686597247,0.05260387294655927,0.0028890709460558384
2026-05-31,0.019861484917748,0.019672547944276596,0.03270321926584387,0.05262575303750272,0.018780057836706263,0.0031739955606013837
2026-06-30,-0.012205496680666445,-0.008382416720043358,-0.0051816231887770415,-0.010292566443839024,-0.01478813247922827,0.0027245082465836568
2026-07-31,-0.0034935763489748785,-0.0027783218657816103,-0.004983374983492977,0.00034817917005858234,-0.00453482872248813,0.0033709225830960143
