variant,cagr,annualized_volatility,bil_relative_sharpe,bil_relative_sortino,max_drawdown,calmar,average_monthly_turnover,annualized_turnover,months
ensemble_25_model_75_momentum,0.07414954042255162,0.09334801876988479,0.48620941838453524,0.7059963960824717,-0.18642389047664487,0.39774698528695845,0.0331811587851271,0.3981739054215252,67.0
momentum_only,0.07531217266660395,0.09360932189932972,0.4969545635980026,0.7224690619886246,-0.18708505400308195,0.4025557951057025,0.03472837136368765,0.41674045636425183,67.0
neural_only,0.07004084298183977,0.09294111921582894,0.4458222729056965,0.6447193905669549,-0.1855660634549211,0.37744424641984464,0.07249044167559286,0.8698853001071143,67.0
static_profile_no_signal,0.07061952938110094,0.0928635361599136,0.4521269424879121,0.6564410104900215,-0.18687772558315552,0.3778916356175213,0.018559302554497694,0.22271163065397231,67.0
